,classes,0,1,2,3
0.8685190677642822,0.0,842.4332275390625,732.8822631835938,933.4268798828125,807.2850952148438
0.8566045165061951,0.0,262.1481628417969,717.9383544921875,316.3666076660156,811.0967407226562
0.8488196730613708,0.0,647.0972900390625,534.1788330078125,745.6534423828125,687.2125244140625
0.8486382961273193,0.0,787.1917724609375,509.5997009277344,864.1273803710938,641.1788330078125
0.8429467082023621,0.0,618.2067260742188,768.5191650390625,705.9531860351562,853.0030517578125
0.8363487720489502,0.0,478.0476989746094,349.05157470703125,573.1384887695312,467.4355163574219
0.8318029642105103,0.0,732.966552734375,713.2140502929688,795.4925537109375,805.7140502929688
0.8187314867973328,0.0,645.1441040039062,484.35552978515625,717.9797973632812,554.896240234375
0.8069849014282227,0.0,544.5504760742188,624.3190307617188,605.267333984375,716.7666015625
0.7503713369369507,0.0,754.9971313476562,336.7666931152344,788.6488037109375,501.9183349609375
0.7502537369728088,1.0,703.0118408203125,93.57990264892578,844.2404174804688,125.47638702392578
0.5670943856239319,0.0,938.8738403320312,710.0051879882812,983.9317016601562,778.4951782226562
