,classes,0,1,2,3
0.8954312801361084,0.0,741.9881591796875,962.19970703125,819.3115844726562,1105.6656494140625
0.8681520819664001,0.0,919.4519653320312,341.7735290527344,1015.5126953125,487.7862243652344
0.857080340385437,0.0,946.6065673828125,736.1246337890625,1045.5845947265625,830.6217041015625
0.8467239141464233,0.0,486.0452575683594,986.96044921875,614.197265625,1057.129638671875
0.8446729183197021,0.0,887.7767333984375,248.90809631347656,964.5931396484375,325.38702392578125
0.8312031030654907,0.0,669.1971435546875,437.8416748046875,734.2702026367188,648.7537841796875
0.8128372430801392,0.0,915.5272827148438,668.8594970703125,1083.52978515625,777.5900268554688
0.7763027548789978,1.0,402.7275390625,131.88186645507812,575.0844116210938,233.0821533203125
0.7416210174560547,0.0,573.9061279296875,57.72300338745117,693.1627197265625,136.35025024414062
0.6991963386535645,1.0,428.7804260253906,71.04405212402344,549.8735961914062,113.73603057861328
