,classes,0,1,2,3
0.9515409469604492,2.0,287.9571838378906,504.46185302734375,348.7304382324219,588.4977416992188
0.8503096103668213,0.0,573.3931274414062,580.19482421875,628.936279296875,767.6865844726562
0.8395777940750122,0.0,776.5989990234375,704.649658203125,920.761962890625,762.9614868164062
0.8123429417610168,0.0,859.7666625976562,199.71224975585938,902.2745361328125,321.705322265625
0.736070454120636,0.0,349.2230529785156,739.0830688476562,396.7884521484375,883.137451171875
0.7331865429878235,0.0,380.7577819824219,96.03541564941406,558.3070068359375,201.28912353515625
0.7217004895210266,0.0,344.0353698730469,713.5327758789062,554.826416015625,791.607177734375
0.6303456425666809,0.0,224.70249938964844,803.334228515625,392.5744323730469,853.25390625
0.586741030216217,0.0,335.7724609375,177.0552215576172,445.4346923828125,362.6253967285156
0.5227729678153992,1.0,187.25238037109375,867.4658813476562,278.7221984863281,898.9362182617188
0.5071699619293213,1.0,335.26715087890625,176.33993530273438,446.31304931640625,364.36865234375
