,classes,0,1,2,3
0.846996009349823,0.0,320.9949951171875,577.3981323242188,411.57635498046875,746.1051635742188
0.8449791073799133,0.0,402.9417724609375,742.9916381835938,527.0926513671875,848.68408203125
0.7274417281150818,0.0,1124.0858154296875,744.3989868164062,1221.5587158203125,861.4776611328125
0.7184721827507019,0.0,1041.3685302734375,721.66943359375,1103.0750732421875,849.7162475585938
0.7116267085075378,1.0,249.61175537109375,509.238525390625,380.9330749511719,592.5478515625
0.7023224830627441,1.0,1000.2621459960938,305.70263671875,1112.2098388671875,367.33642578125
0.6511176824569702,1.0,1093.8831787109375,555.9555053710938,1242.6649169921875,655.86328125
0.596338152885437,0.0,293.1489562988281,172.07269287109375,331.4466552734375,226.25643920898438
0.5850530862808228,1.0,1007.6836547851562,842.5933837890625,1092.5379638671875,934.9039916992188
0.5722820162773132,1.0,1058.7962646484375,881.3770751953125,1173.4010009765625,954.9783325195312
